data$Geneid,A01,A04,A05,A14,A15,A16,A19,A20,A25,A26,A30,A31,A33,A36,A38,A41,A43,A50,A51,A57
LPAR3,580.7754261704911,525.2925885573519,571.3885182427179,532.8703934206512,607.0489104244641,1172.3937841122324,497.9497449152615,482.8004151243738,485.20682850710426,794.2242139698457,662.7112242992989,726.4463988558058,495.4093088993173,556.724625397541,599.6252088192542,1140.8662141631999,526.5963307644708,660.2149873805411,575.3371915264559,511.80443458497075
COL24A1,1684.0031648897007,1267.3725946145632,1819.0932644418162,1497.7549359036484,1338.366891280023,1858.172284801349,1865.853845115734,1872.8684483873524,1492.8572886393,1576.260844093607,1851.9731771007707,1478.2512962342987,1624.797623702697,1848.6014383901845,1899.921116192271,1438.960791216945,1889.9040434121764,1400.8622574876456,1976.4357775495757,1663.1515153817768
CLCA1,184.79218105424715,105.05851771147037,185.96099048262997,127.8571286747017,144.06414359711013,174.52446873824826,169.0930047136134,166.31171112253494,130.89300489959092,199.06386948604828,171.39083387050835,151.40515294427985,155.7776985935696,158.51719045019394,166.85801265369489,127.5135442921119,160.30101676187306,140.7564947714859,167.42241331719308,129.44138778188943
LINC02801,189.70360114871218,120.90067514415242,166.22211439788154,168.35845514929665,149.56277503211433,142.69941855656768,163.26221144762673,187.41095805599085,137.66333273922493,174.68870179387912,159.96477827914111,161.84688763009225,164.83454153505622,158.51719045019394,146.2500509315254,151.15843992243728,159.55194659008862,164.21591056673356,153.23407320556655,166.9112631924364
PKN2-AS1,499.73699461181786,314.34175537479626,559.9607478778635,560.6654213934124,638.9409727474884,463.0031494173527,559.7561535347202,573.4030637209786,658.9785763910439,604.3010323683609,544.6419831885044,501.9491031108391,475.48425442804677,539.1116042364084,579.0172470970847,534.5435333569989,579.780312961167,514.9900324575794,566.82418745948,541.6100172979059
LRRC8C,803.6311129568422,456.92117226893464,869.5494359439178,972.0318353902787,599.3508264154582,739.1624558325808,956.2500956218137,820.3883660596686,909.4807064575024,713.9892869831222,768.4022385194457,729.4297516231808,1008.026619387459,913.5797497926636,971.2332927770847,710.1913294679874,910.8693288898955,668.0347926456236,1020.1416540259476,978.4747010617828
HFM1,404.5782302815577,368.5386097497612,356.3386577404586,381.9830987113759,428.8932519303279,383.95383122414614,411.65400457865877,418.2615421514498,365.5977033402367,381.8776271773171,511.3159877136832,367.6982285789653,326.04634589351775,433.4334772696124,390.8864997624406,367.3403428282694,426.9699979171385,322.8462459441225,419.97486730414533,434.3099195313396
EVI5,1881.0738961801105,1281.5471565280156,1621.7045035943318,1875.7673163332013,2186.255858557671,2096.346853902958,1683.9330952169498,1668.0816399155742,1926.1582703758766,1832.2001048613831,1856.7340335971737,1558.801820953423,1860.2755401813486,1731.436558492215,1775.6085729004744,2072.3062098863747,1816.4951665772999,1713.6544680909476,1652.9416230044908,1894.783472465158
CCDC18,500.350922123626,368.5386097497612,499.7052314086314,533.6645370770158,648.838509330496,483.5354398571466,520.1067593260108,528.7223055089544,525.8287955449083,564.6913848685859,493.2247330273518,474.3530900126206,527.1082591945204,564.3824606849901,513.2047241778982,562.4107317784539,564.0498393536935,451.31447529905006,545.5416772920402,545.0163696079555
DNTTIP2,70.60166385793495,39.18849470189768,73.76106326405994,77.82607832373147,69.28275608105297,65.70332940734052,52.477139393880016,67.02113731803647,76.73038218251881,72.10987108933382,44.752051066188294,61.90456992303068,66.1149534728522,71.98365170202044,74.45457138332202,78.53483191500932,62.17282425810965,74.8467075372187,73.77936858045796,80.04927928616847
